Titre,Localisation,Entreprise,Salaire,Description
DATA SCIENTIST H/F,Hauts-de-Seine,Enedis,Indisponible,"Informations générales
Entité
La DSI d’Enedis se positionne comme partenaire des métiers et cultive sa dimension entrepreneuriale et d’anticipation au service d’Enedis, de ses clients et des territoires. Elle propose une offre de services industrielle, performante et innovante, garantissant l’agilité du Système d'information dans un contexte de forte numérisation des métiers.
Avec un effectif d’environ 600 collaborateurs, la DSI est au cœur des transformations d’Enedis. Engagée notamment dans l’essor des solutions SmartGrids, dans l’adaptation du Système d'Information à la transformation numérique ou dans le positionnement d’Enedis comme opérateur de données, la DSI met en œuvre de nombreux projets SI majeurs en lien avec les différents métiers concernés.
Référence
2020-8367
Date de début de diffusion
26/03/2020
Date de fin de diffusion
01/09/2020
Description du poste
Famille professionnelle / Métier
SYSTEMES D'INFORMATION, TELECOM ET NUMERIQUE - Gestion et valorisation de la donnée
Intitulé du poste
DATA SCIENTIST H/F
Type de contrat
Alternance
Description de la mission
ENEDIS, filiale à 100% du Groupe EDF, assure la distribution d’électricité sur la grande majorité du territoire français. Entrez au cœur du lien entre le présent et l’avenir et participez directement au maintien de la qualité de notre réseau, rejoignez-nous !
SYPEL (SYstème des Prévisions des ÉLectriques) est une application interne du système d’information d’Enedis. Elle a pour objectif de mieux appréhender l'évolution de l'offre et de la demande en électricité dans un contexte de forte croissance des moyens de flexibilité sur le réseau. Cette application est chargé de prévoir la consommation, la production et les pertes. Elle est alimentée par des prévisions météorologiques et climatiques, des mesures d'énergie et des événements conjoncturels : signaux tarifaires, effacements.
L’équipe d’une dizaine de personnes est organisée en Agile / Scrum, avec 5 équipiers techniques (architecte, pilote opérationnel, développeur web, spécialiste sécurité) et 5 équipiers Data Scientists.

Mission
L’alternant rejoindra l’équipe SYPEL dans un rôle de Data Scientist. Les tâches sont variées et comprennent :
études préliminaires permettant de déterminer l’intérêt des évolutions de l’application ;
calibration et création de moteurs de prévision d’énergie ;
écritures de scripts d’ingestion de nouvelles données ;
gestion de base de données ;
réponses aux questions des utilisateurs ;
résolutions de bugs
Le travail lié à la Data Science est principalement fait en python et PGSQL, mais selon les besoins les membres de l’équipe peuvent être appelés à développer en R, PHP, JavaScript, Angular, VBA, Java.

Conformément aux engagements pris par Enedis en faveur de l'intégration des personnes en situation de handicap, cet emploi est ouvert à toutes et à tous.
Profil souhaité
Nous recherchons un étudiant de niveau M1 ou équivalent BAC +4 en formation en alternance pour l’obtention d’un diplôme M2 ou diplôme d'ingénieur en dernière année en Data Science.
L’alternant devra avoir des bases solides en statistiques et en programmation. Il devra connaitre connaître ou être prêt à apprendre python et SQL, et être prêt à s’investir dans d’autres langages de programmation.
L’équipe SYPEL fonctionne en mode Agile / Scrum de façon rigoureuse, l’alternant devra être prêt à intégrer un fonctionnement en équipe dynamique incluant toutes les cérémonies Scrum. En particulier il est obligatoire d’être présent à la mêlée quotidienne de 9h45 tous les jours.

Date souhaitée de début de mission
01/09/2020
Société
Enedis
Localisation du poste
Localisation du poste
France, Ile-de-France, Hauts-de-Seine (92)
Ville
55 avenue des champs pierreux nanterre
Critères candidat
Niveau de formation
04 - BAC +4 / BAC +5
Spécialisation du diplôme
DATA - Mathématiques appliquées - Statistiques
Compétences transverses
Capacité d'adaptation
Autonomie
Sens des responsabilités / Engagement
Rigueur
Capacité d'analyse / Esprit de synthèse"
Ingénieur Data Scientist Junior H/F,Toulouse (31),CS Group,Indisponible,"DESCRIPTION DE L'OFFRE
CS Group recherche un(e) Data Scientist Junior (H/F) afin d’accompagner la croissance de son activité dans le département Systèmes d'Information.
Vous réaliserez les missions suivantes :
Développer des outils de traitements de données : data visualisation, data wrangling, statistiques, Machine Learning, …;
Analyser de gros volumes de données de type ‘série temporelle’, rédiger les rapports d’analyse, et assurer la présentation au client.

PROFIL REQUIS
Ingénieur de formation ou équivalent universitaire (BAC+5), vous bénéficiez de qualifications dans les domaines Statistiques, Machine Learning et Mathématiques appliqués. De plus, vous êtes compétent en développement logiciel.

Vous disposez des connaissances suivantes:
Langages Python (inlcuant Numpy, Scipy et Scikit-Learn), R, Javascript;
MapReduce et Spark en particulier;
Techniques de tests unitaires et de profilage de code;
Utilisation et configuration des outils IDE tels Eclipses/IntelliJ/PyCharm;
Gestionnaires de faits techniques, forges logicielles et outils de gestion de code source (Git).
La maîtrise de Java et Hadoop Stack serait appréciée.

Vous serez amené à faire de la rédaction et des présentations en anglais.
Bon communiquant, votre capacité d'analyse et de résolution des problèmes sont des atouts essentiels pour réussir dans cette fonction.

CS Group en quelques mots ?
CS Group est un concepteur, intégrateur et opérateur de systèmes critiques intelligents cyberprotégés.
En proposant des solutions innovantes dans les domaines de la cyber sécurité, des systèmes sûrs industriels et embarqués, de la continuité numérique et de la gestion de crise et de la surveillance de zones, CS Group a su s’imposer en tant que partenaire privilégié pour les acteurs des secteurs de la Défense et de la Sécurité, du Spatial, de l’Aéronautique et de l’Energie. (www.c-s.fr)

Nous rejoindre c’est :
Bénéficier d’un management de proximité.
Progresser individuellement et collectivement.
Evoluer dans un environnement flexible (télétravail…), à dimension humaine et convivial.

Où sommes-nous situés ?
Notre agence se situe à Saint-Martin du Touch - 6 rue Emmanuel Arin - 31300 Toulouse.
Le site Europarc 2 est accessible en transports en commun :
- Ligne de Bus L2 - Arrêt Jean Petit.
Ligne C SNCF TER – Arrêt Saint-Martin

Si vous préférez, CS rembourse des indemnités kilométriques vélos !

Intéressé ? Déposez votre CV et additionnons nos talents !"
Data Scientist H/F,La Défense (92),EY,Indisponible,"Dans le cadre de notre forte croissance, EY Analytics cherche à renforcer ses équipes de Data Science (130 Datascientist à Paris et 200 sur la zone Benelux) !!

Nos domaines d’interventions sont très larges (marketing, industrie, secteur public, énergie, retail et consumer product, etc.). Avec plus de 500 missions dans le domaine de l’analytics et du Big Data, nous sommes le premier cabinet de conseil en France dans le secteur. Nos consultants bénéficient de l’encadrement d'un large pool de managers, tous issus des meilleures formations et ayant des expertises techniques et métiers qui permettent à nos équipes d’être rapidement formées aux nouvelles méthodes et outils.

En outre, pour accélérer notre veille technologique, nous avons ouvert à la Tour First, un Lab de 600m² dédié à l’innovation autour du digital, de la data et de la blockchain. Déjà 40 nouvelles applications y ont vu le jour cette année.

Vous êtes datascientist, dataminer, architect Big Data, consultant BI... H/F à la recherche d'une équipe dynamique, à la pointe des technologies et des innovations en Datascience, au service des entreprises les plus data driven, n'hésitez pas à nous contacter pour se rencontrer.

Vos missions :

Pour soutenir notre développement dans les domaines « Analytics » (Analyse quantitative de données, datamining, Big data, Data Science…), vous êtes responsable de la réalisation de projet d’analyse quantitative de données, datamining dans un contexte souvent CRM - Marketing : segmentations, scores d'appétence, reporting analytiques, prévisions ...

Vous intervenez sur la définition de la stratégie en matière de gestion des données de nos clients ou sur le pilotage du déploiement de solutions technologiques Big Data. A partir de besoins métiers exprimés, vous encadrez l’équipe-projet et conduisez personnellement les aspects les plus sensibles de la mission client.

Grâce à votre expérience, vous devez être en mesure de proposer et mettre en œuvre des méthodologies susceptibles de répondre efficacement et opérationnellement aux attentes du client dans le respect des délais et du budget prévu.

Vous développez une expertise sectorielle et devez être force de proposition sur les sujets et offres à présenter à nos clients pour les accompagner dans l’excellence de leur activité.

Votre profil :

H/F, de formation supérieure de haut niveau en mathématiques / statistiques ou économétrie (écoles type ENSAE / ENSAI, ENSTA, Centrale Paris..), vous bénéficiez d'une expérience de 2 ans minium idéalement acquise dans un cabinet de conseil ou au sein d’un département étude/connaissance client d’un grand groupe.

Vous maitrisez les principaux logiciels statistiques (R, SPSS, Modeler, SAS, etc.), les langages SQL et programmation (C, VBA, Python, etc.).

Doté(e) d'un excellent sens relationnel, vous savez allier le sens de l'analyse et de la synthèse, rigueur et méthode. Vous êtes dynamique, autonome et responsable.
Curieux(se), vous faites preuve d'esprit d'équipe et de leadership.

EY certifié Great Place To Work France et également classé numéro 1 en tant que ""Best Workplace 2019"" dans la catégorie des entreprises de +de 5000 salariés. Vivez l’expérience EY, rejoignez-nous."
CIFRE - Data Scientist pour la conduite automatique des navi...,France,Naval Group,Indisponible,"Data Scientist
Effectuer une modélisation approfondie des données à traiter ;
Imaginer et développer des algorithmes de traitement de données adaptées aux problématiques soulevées, réaliser les simulations et valider les performances attendues ; participer à des campagnes de collecte de l’information et des campagnes d’expérimentation réelles ;
Optimiser la modélisation pour rendre les traitements des données plus efficaces ;
Développer des modes de représentations adaptés à l'exploitation de la donnée ;
Former les utilisateurs à l’emploi des traitements de données ;
Etablir le retour d’expérience et d’amélioration des traitements ;
Assurer une veille technologique dans ce domaine, et un rayonnement scientifique par une communication des résultats.

Data Analyst / Business Intelligence
Fournir un appui analytique à la conduite d’exploration et à l’analyse complexe de données ;
Créer des algorithmes de recherche de données qui permettent d'explorer les données utiles ;
Analyser et interpréter des résultats de traitement de données, intégrant sa compétence métier du réel ;
Produire des résultats interprétés, à usage opérationnel ;
Réaliser des bilans sur la performance attendue et les améliorations attendues ;
Analyser le besoin utilisateur en matière de traitement des données ;
Savoir proposer des solutions basées sur les technologies Big Data ;
Concevoir et développer des tableaux de bord présentant les données aux utilisateurs.

Ingénieur Big Data
Concevoir, mettre en place et maintenir en conditions opérationnelles, les clusters et les services de l'infrastructure de Big Data ;
Mettre en place des solutions techniques répondant au besoin de performances (vitesse, volume, validités et implémentation d’algorithme) requis ;
Concourir à la définition de la politique de gestion de la data, dans son domaine d’activité ;
Gérer la data (imports, exports, pré-traitements, sécurisation, etc.)
Le responsable data science a pour mission de créer de la valeur d’un ensemble de données numériques, en réalisant des traitements et en la transformant afin de permettre une présentation des résultats à des équipes ou entités qui les utiliseront et à leurs clients.
Profil
Autonomie et initiative, Travail en équipe / Esprit de coopération, Créativité et conception, Management d'équipe, Analyse et synthèse, Connaissance générales des bâtiments de surface, sous-marins, constructions neuves et MCO, Anglais, Modélisation et simulation numérique, Langages de programmation, Intelligence artificielle (72A), Data science: big data
Type de contrat standard
CIFRE
Date prévue de prise de fonction
17/02/2020
Durée du contrat (en mois)
36
Catégorie Professionnelle
Ingénieurs et Cadres"
DATA SCIENTIST F/H,Le Bouscat (33),Aquitem,Indisponible,"DESCRIPTION DU POSTE
Groupe Aquitem - partenaire de votre succès !
Créé en 1987, le groupe réunit aujourd'hui deux sociétés et 120 personnes sur le même site ayant pour cœur d’expertise la DATA :
Aquitem, spécialiste de la conception, gestion et mise en place opérationnelle de programmes de fidélité pour les grandes enseignes

Aliénor.net, spécialiste web et hébergement à valeur ajoutée sur ses propres infrastructures.

Quelques mots nous caractérisent : #Qualité #Service #Innovation #Data #Technologie.

AQUITEM recherche aujourd'hui un/une Data scientist.
De formation supérieure (BAC+5) en mathématiques/statistiques, vous maîtrisez les concepts et les outils modernes de gestion des bases de données relationnelles. Vous avez déjà participé dans le cadre d'une première expérience ou de stages à la gestion de bases de gros volumes et conçu des algorithmes et des statistiques appliquées au marketing.

Au sein de notre division ZeFid' qui gère des bases de données marketing de gros volumes pour des grandes enseignes, vous intégrerez l'équipe de data scientists (5 personnes) et travaillerez en étroite collaboration avec les services de la société (Direction, Chef de projet Marketing, Chef de Projet technique...)

Vos missions consisteront à :
concevoir et implémenter des modèles statistiques ou des algorithmes de machine learning (classification, scoring, recommandation, etc…)

réaliser des études et des analyses permettant une meilleure connaissance du profil des clients des enseignes dont nous gérons les programmes de fidélisation afin d'optimiser ces derniers

agréger, regrouper et donner du sens aux données pour les mettre à disposition des équipes marketing

accompagner les équipes marketing opérationnelles sur les questions de préconisation de ciblage et d’analyses d’opérations

établir des bilans statistiques et des états de reporting dont vous participerez à l'automatisation

contribuer au développement de notre outil de Datavisulisation MyDataviz'


Pour réussir sur ce poste, vous êtes curieux, rigoureux et méthodique, vous avez une bonne aisance relationnelle et rédactionnelle. Vous maîtrisez les langages SQL et R.

Quelques petits plus que nous apprécierions : connaissance de Python, des bases NoSQL et d'un outil décisionnel type Business Object

Chez nous, vous aurez 21 jours de RTT, des tickets restaurant, une prime de vacances et une prime de fin d’année, une excellente mutuelle et une prévoyance de branche.
De plus, il fait bon travailler chez AQUITEM : Parking facile, accès transports en commun, prime Vélo!

FORMATION EXIGÉE
Bac+5

EXPÉRIENCE EXIGÉE
stages ou première expérience

TYPE DE CONTRAT
CDI

SALAIRE INDICATIF
selon profil

LIEU DE TRAVAIL
Le Bouscat"
Ingénieur Data Scientist Junior F/H,Toulouse (31),CS COMMUNICATION & SYSTEMES,Indisponible,"CS Group recherche un(e)

Data Scientist Junior (H/F)

afin d'accompagner la croissance de son activité dans le département Systèmes d'Information.

Vous réaliserez les missions suivantes :
Développer des outils de traitements de données : data visualisation, data wrangling, statistiques, Machine Learning, …;

Analyser de gros volumes de données de type 'série temporelle', rédiger les rapports d'analyse, et assurer la présentation au client.
Profil recherché Ingénieur de formation ou équivalent universitaire (BAC+5), vous bénéficiez de qualifications dans les domaines Statistiques, Machine Learning et Mathématiques appliqués. De plus, vous êtes compétent en développement logiciel.

Vous disposez des connaissances suivantes:
Langages Python (inlcuant Numpy, Scipy et Scikit-Learn), R, Javascript;

MapReduce et Spark en particulier;

Techniques de tests unitaires et de profilage de code;

Utilisation et configuration des outils IDE tels Eclipses/IntelliJ/PyCharm;

Gestionnaires de faits techniques, forges logicielles et outils de gestion de code source (Git).

La maîtrise de Java et Hadoop Stack serait appréciée.

Vous serez amené à faire de la rédaction et des présentations en anglais.

Bon communiquant, votre capacité d'analyse et de résolution des problèmes sont des atouts essentiels pour réussir dans cette fonction.
Entreprise CS Group en quelques mots ?

CS Group est un concepteur, intégrateur et opérateur de systèmes critiques intelligents cyberprotégés.

En proposant des solutions innovantes dans les domaines de la cyber sécurité, des systèmes sûrs industriels et embarqués, de la continuité numérique et de la gestion de crise et de la surveillance de zones, CS Group a su s'imposer en tant que partenaire privilégié pour les acteurs des secteurs de la Défense et de la Sécurité, du Spatial, de l'Aéronautique et de l'Energie. (www.c-s.fr)

Nous rejoindre c'est :
Bénéficier d'un management de proximité.
Progresser individuellement et collectivement.
Evoluer dans un environnement flexible (télétravail…), à dimension humaine et convivial.
Où sommes-nous situés ?

Notre agence se situe à Saint-Martin du Touch - 6 rue Emmanuel Arin - 31300 Toulouse.

Le site Europarc 2 est accessible en transports en commun :
Ligne de Bus L2 - Arrêt Jean Petit.
Ligne C SNCF TER - Arrêt Saint-Martin
Si vous préférez, CS rembourse des indemnités kilométriques vélos !

Intéressé ? Déposez votre CV et additionnons nos talents !"
Alternance - Data Scientist F/H - Rouen,Rouen (76),Matmut,Indisponible,"Intitulé du poste externe
Alternance - Data Scientist F/H - Rouen
Description de la mission
La Matmut ne fait que de l'assurance ? FAUX !

400, c'est le nombre de collaborateurs travaillant au sein de la Direction Informatique de la Matmut. Une aubaine pour toi si tu souhaites nous rejoindre et proposer tes idées !

Ton quotidien ?

Rattaché à la Direction Informatique, tu participe aux missions de l'équipe Data (Décisionnel et DataLab).

En ce sens, tu participes à la construction de solutions informatiques empiriques d'une certaine complexité pour éclairer sur des faisabilités et les moyens les plus adaptés pour les transformer en récurrents.

Tu réalises le développement en SAS, SQL, Python, R. et participes à la conception d'indicateurs business et suivi d'activité.

Tu rédiges et exécutes des tests et contribues à la conception et à la recherche de solutions techniques de collecte, de nettoyage, d'analyse, de visualisation de données, de développements, d'industrialisation de traitements, autour des techniques de BI classique ou du bigdata/machine learning.

Tu rédiges la documentation technique et fonctionnelle, et assure la présentation des travaux réalisés.
Profil
Tu sais que cette offre est faite pour toi si :

Tu maîtrises des outils et méthodes d'analyse et développement (SAS, SQL, Python, R), de l'organisation des structures de données, des tests.

Tes connaissances dans le domaine du BigData sont fortes (acquises ou en cours d'acquisition),

Tu es curieux, rigoureux, force de propositions et doté d'un bon esprit d'équipe

Tes capacités rédactionnelle et de formalisation sont reconnues.

Tu te reconnais ? Postules en ligne en joignant ton CV et une lettre d'accompagnement expliquant en quoi tes expériences font de toi la personne idéale pour nous rejoindre !

On te parle de nous ?

La Matmut recherche de nouveaux talents pour accompagner sa transformation et son développement avec engagement et ambition, tout en conservant son ADN.

Confiante et bienveillante envers ses salariés, elle construit avec eux des parcours professionnels motivants. Convaincu que la diversité des potentiels est une richesse, elle accompagne, forme et fait grandir tous les talents.

Depuis 1961, le Groupe Matmut est complice de vie de ses sociétaires. Profondément humain et fier de son appartenance à la famille mutualiste, il s'adresse à tous - particuliers, professionnels, entreprises, associations – en proposant une gamme complète de produits d'assurance des biens et des personnes et de services financiers et d'épargne.
Contrat
ALTERNANCE
Localisation du poste
Lieu
66, rue de Sotteville - 76100 ROUEN"
Data Scientist - Stage F/H,Paris (75),AG2R La Mondiale,Indisponible,"Référence : 2020-23526
Caractéristique du poste
Type de contrat : Stagiaire
Pays / région / département : France, Ile-de-France , PARIS (75)
Ville : PARIS
Votre rôle principal
Rattaché à la direction actuariat produit, nous recherchons un stagiaire orienté Data sciences.
Nous vous proposons de faire évoluer les modèles actuariels classiques en saisissant les opportunités offertes par le big data et les techniques du ML (Machine Learning), tout en intégrant les contraintes réglementaires et éthiques.
Depuis quelques années, le monde de l’assurance connait des mutations importantes :
Digitalisation, big data, algorithmes du ML : présentent une opportunité aux assureurs leur permettant de valoriser les données (dark data), améliorer leur connaissance du risque et mieux répondre aux attentes de l’assuré.
Cette opportunité est étroitement liée à des enjeux importants sur le marché : une concurrence accrue liée aux nouveaux arrivants (insurtechs, GAFA …) et une inflation réglementaire de plus en plus importante liée à l’utilisation éthique des données et des systèmes de l’IA.
Vos responsabilités
Le stagiaire sera amené à challenger les modèles actuariels et proposer des algorithmes innovants pour l'amélioration de la connaissance client (Know Your Customer) en vue de personnaliser l'offre et affiner la tarification des produits prévoyance/santé :
Compréhension des besoins métiers en termes de modélisation du risque actuariel;
Implémentation des modèles de ML;
Mesure de la performance du modèle et interprétation des résultats dans un souci de réponse à la problématique métier identifiée.

Vos compétences et atouts

Vous suivez un cursus de formation orienté DATA Sciences.

Vous avez des connaissances dans les outils suivants :
Méthodes statistiques, SAS base et SQL
Compréhension et connaissance d’algorithmes basiques du ML
Librairies python pour les projets data science (pandas, sickit-learn, keras …)

Dynamisme, rigueur, curiosité, ouverture d’esprit, esprit d’analyse et de synthèse"
Consultant stagiaire - Data & Analytics - Neuilly-Sur-Seine...,Neuilly-sur-Seine (92),Grant Thornton France,Indisponible,"Analyse de données, recherche de fraude, solutions de contrôle continu, Machine Learning, Big Data…

Au sein de Grant Thornton, 6e cabinet national d’audit et de conseil, nous recrutons aujourd’hui, dans le cadre du développement de notre équipe dédiée au conseil Business Risk Services, un consultant stagiaire.

Le consultant aura pour principales missions d’accompagner l’équipe sur ses missions diverses en cours (participation à la production de livrables, déplacements en clientèle…) ainsi que de contribuer au développement de l’offre commerciale.

Les principales missions du consultant seront les suivantes :
Sous la supervision d’un consultant, participer à des missions de conseil portant sur la recherche de fraude, la mise en place de solutions de contrôle continu et de reportings automatisés à l’aide d’outils de Data Visualisation
Contribuer au développement de l’entité Business Risk Services en participant à des projets internes.
Pour ce faire, le consultant bénéficie des qualités suivantes : autonomie, proactivité, fort intérêt pour l’analyse de données, capacités rédactionnelles, analytiques et synthétiques, aisance orale, rigueur…

Diplômé d’une formation d’Ecole d’Ingénieur, idéalement complétée par une spécialisation en gestion, vous souhaitez rejoindre une équipe en croissance

Idéalement, vous recherchez un stage de fin d’étude à compter de septembre 2020 ou janvier 2021 pour une durée de 6 mois.

Désireux de rejoindre un cabinet en croissance, vous êtes impliqué, doté d’un excellent relationnel et souhaitez travailler au sein d’équipes pluridisciplinaires. Vous êtes curieux, motivé et avez une grande capacité d’adaptation.

La connaissance des outils et techniques d’analyse de données (SQL, Google Big Query, ACL, Data Studio, Python, Power BI, etc.) est un plus.

Vous maîtrisez l'anglais dans un environnement professionnel.

A compétences égales, travailleurs en situation de handicap bienvenus !"
Data Scientist H/F,Clichy (92),SNCF Logistics,Indisponible,"Au sein de la practice Data Science, prendre en charge les projets de Data Analytics, essentiellement Predictive Analytics dans un premier temps avec ensuite le développement vers les sujets Prescriptif et Cognitif.
Contribuer à la mise en place d'une plate-forme de data science.
Profil du candidat
Première expérience autour de la data science, manipulation de données, recherche de corrélation.
Langages Python, SQL, NoSQL.
Connaissance des process de machine Learning.
Curiosité.
Recherche de solutions.
Ouvert, sachant écouter
Capable de travailler en équipe
Capacité à vulgariser son travail auprès des néophytes.
Temps de travail en %
100
Localisation du poste
Localisation du poste
Europe, France, Île-de-France, Hauts-de-Seine
Ville(s)
Clichy
Critères candidat
Niveau d'études min. requis
BAC+5 / MASTER
Niveau d'expérience dans la fonction
Débutant (1 à 5 ans d'expérience)
Langues
Anglais (Maitrise Courante)
Français (Maitrise Courante)"
